Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-2413.463	-2483.337	69.87469	0.109917	0.0643985	0.0413153	0.033576	0.0843746	0.117194	0.049182	0.0411697	0.0818035	0.0495252	0.0650779	0.0975682	0.0250769	0.0568529	0.00187189	0.0315509	0.00934279	0.0494714	0.0369053	0.0333496	0.0367296	0.019999	0.00978129	0.0103441	0.00582679	0.00819647	0.00235004	0.106192	0.0122337	0.174594	0.0112606	0.00570783	0.0385666	0.00861559	0.040387	0.00524136	0.00469716	0.017257	0.0207368	0.01681	0.00204138	0.0119235	0.000765461	0.0620379	0.000324498	0.0779628	0.0089872	0.00463929	0.0193147	0.00876205	0.0396427	0.70177	1.17397	0.9449651	1.055035	0.164136	0.414241	0.759609	1.31647	2.41405	6.09251	1.306629	1.11648	0.3487026	0.0587333	0.034411	0.0220766	0.0179411	0.0450851	0.0626217	0.0262801	0.0219988	0.0437113	0.0264635	0.034774	0.052135	0.0133997	0.030379	0.00100023	0.0168591	0.00499227	0.0264348	0.0197202	0.0178202	0.0196263	0.0106864	0.00522658	0.00552734	0.00311351	0.00437974	0.00125573	0.0567432	0.00653702	0.0932933	0.00601705	0.00304995	0.0206079	0.00460369	0.0215806	0.00280069	0.0025099	0.0092212	0.0110806	0.00898234	0.0010908	0.00637128	0.00040902	0.0331496	0.000173394	0.041659	0.00480226	0.00247898	0.0103207	0.00468195	0.0211828	0.527517	0.472483	1.871451
36	-2413.472	-2483.321	69.84931	0.0509338	0.0668298	0.0327214	0.0502776	0.0584956	0.111672	0.0690086	0.0113776	0.0446315	0.0413051	0.0246469	0.0610605	0.0256217	0.00703127	0.00678197	0.0145248	0.0197206	0.0503787	0.0382986	0.0312159	0.0236383	0.0162793	0.00106647	0.0109175	0.0131416	0.00697452	0.00516148	0.161264	0.0245085	0.141377	0.00337437	0.0128522	0.0243364	0.0038634	0.0383053	0.00675689	0.00788031	0.0203046	0.00849311	0.0113344	0.00495297	0.017299	0.00148603	0.0274701	0.00717285	0.053465	0.00752795	0.00165478	0.0249168	0.0207674	0.0286643	0.617962	1.22286	0.7736006	1.226399	0.12119	0.357276	0.725347	1.37865	2.79895	8.25151	1.525962	1.585313	0.2947837	0.0327814	0.0430122	0.0210597	0.032359	0.0376482	0.0718731	0.0444145	0.00732272	0.0287252	0.0265843	0.0158629	0.039299	0.0164903	0.00452538	0.00436493	0.0093483	0.0126923	0.0324242	0.0246493	0.0200908	0.0152138	0.0104775	0.000686388	0.00702658	0.00845802	0.00448885	0.00332197	0.103791	0.0157738	0.0909915	0.00217177	0.00827175	0.0156631	0.00248651	0.0246536	0.00434879	0.00507183	0.0130682	0.00546623	0.00729488	0.00318777	0.0111338	0.000956423	0.01768	0.0046165	0.0344105	0.00484505	0.00106503	0.0160367	0.0133661	0.0184486	0.6132	0.3868	1.553741
72	-2416.31	-2483.861	67.55158	0.131597	0.143133	0.0329204	0.0459112	0.132787	0.250727	0.140828	0.0488723	0.0419213	0.061667	0.0793715	0.172743	0.0508253	0.0316334	0.0116811	0.0248314	0.0277455	0.163288	0.0781571	0.0362001	0.0358996	0.0380777	0.00796234	0.0291381	0.0539319	0.0176197	0.0141976	0.261684	0.0324028	0.27982	0.0567931	0.0371696	0.0440968	0.00976888	0.0900885	0.0678664	0.0143889	0.0535096	0.0151947	0.0240221	0.0147382	0.0180335	0.00168357	0.0697272	0.0120303	0.101059	0.0382313	0.00767443	0.0516542	0.0236082	0.00451236	0.423602	1.33623	0.6524298	1.34757	0.192834	0.448107	0.778462	1.28458	2.23161	5.18581	1.190118	2.065464	0.184924	0.040699	0.0442667	0.0101813	0.0141989	0.041067	0.0775421	0.0435537	0.0151147	0.012965	0.0190717	0.0245472	0.0534242	0.0157187	0.00978323	0.0036126	0.00767961	0.00858084	0.0505	0.0241716	0.0111956	0.0111027	0.0117763	0.00246251	0.00901152	0.0166795	0.00544924	0.0043909	0.0809308	0.0100212	0.0865397	0.0175644	0.0114954	0.0136378	0.00302122	0.0278616	0.020989	0.00445005	0.0165489	0.00469927	0.00742932	0.00455808	0.00557721	0.000520678	0.0215645	0.0037206	0.0312545	0.0118238	0.00237347	0.0159751	0.0073013	0.00139554	0.673785	0.326215	3.233425
108	-2404.854	-2474.328	69.47418	0.133879	0.138139	0.0442998	0.0568154	0.101773	0.100906	0.088881	0.00645397	0.0648976	0.033501	0.0654116	0.139175	0.0375028	0.0336826	0.000359811	0.0156601	0.0116039	0.0954375	0.0394222	0.0352056	0.0545017	0.0258597	0.00850376	0.002614	0.019696	0.00390158	0.00364192	0.150806	0.0467076	0.177072	0.0220144	0.024943	0.0574864	0.00836123	0.0652705	0.0302562	0.0116433	0.0419028	0.0423298	0.0384493	0.00461095	0.00214492	0.00553096	0.0647719	0.00692051	0.0558099	0.0209342	0.00509114	0.0264104	0.00951078	0.0303658	0.624533	1.21902	0.9303409	1.069659	0.212684	0.47004	0.790154	1.26558	2.12748	4.70181	1.119273	1.14975	0.2988547	0.0579293	0.0597729	0.0191685	0.024584	0.0440373	0.043662	0.0384588	0.00279263	0.0280812	0.0144959	0.0283036	0.0602212	0.0162274	0.0145745	0.00015569	0.00677611	0.00502102	0.0412958	0.017058	0.0152335	0.0235829	0.0111895	0.00367957	0.00113108	0.00852246	0.00168822	0.00157586	0.0652538	0.0202104	0.0766189	0.00952564	0.0107928	0.0248744	0.0036179	0.0282425	0.0130918	0.00503807	0.0181313	0.0183161	0.016637	0.00199516	0.000928108	0.00239325	0.0280268	0.00299451	0.0241489	0.00905825	0.00220293	0.0114278	0.00411531	0.0131393	0.53483	0.46517	2.31107
144	-2406.152	-2475.117	68.96481	0.180443	0.146366	0.0639738	0.069548	0.144643	0.0964952	0.0599239	0.00973314	0.0601479	0.044231	0.0926081	0.189728	0.0162338	0.035696	0.00366572	0.0475758	0.0210745	0.103755	0.0456633	0.0277072	0.0260345	0.0267952	0.0110451	0.00683769	0.0225668	0.00614146	0.00710246	0.185486	0.0449817	0.305012	0.0236782	0.0236856	0.0271848	0.000807608	0.0430398	0.0130506	0.0126581	0.0401118	0.0325963	0.0488834	0.00511902	0.00759808	0.00946342	0.0811349	0.00277811	0.0741724	0.0223589	0.00285735	0.0170757	0.0195215	0.0946349	0.506873	1.28766	0.9738488	1.026151	0.173863	0.426037	0.766292	1.30499	2.34721	5.75164	1.264999	1.053707	0.2296234	0.0667411	0.0541368	0.0236622	0.025724	0.0534995	0.0356911	0.0221643	0.00360003	0.0222471	0.0163599	0.0342533	0.0701753	0.00600447	0.013203	0.00135585	0.0175971	0.00779489	0.0383762	0.0168896	0.0102482	0.00962948	0.00991084	0.00408528	0.00252908	0.00834687	0.00227156	0.00262701	0.0686065	0.0166376	0.112816	0.00875795	0.00876069	0.0100549	0.000298713	0.0159193	0.00482708	0.00468188	0.0148363	0.0120565	0.0180807	0.00189339	0.00281033	0.00350027	0.0300097	0.00102755	0.0274344	0.00826997	0.00105686	0.00631586	0.00722048	0.035003	0.513076	0.486924	2.703625
180	-2404.694	-2473.069	68.37417	0.113898	0.167459	0.0684752	0.0516876	0.0966086	0.0940995	0.110826	0.0512591	0.144283	0.0510422	0.0622346	0.177985	0.0263841	0.0408403	0.00608117	0.0526732	0.0294033	0.104112	0.0585861	0.0321427	0.00839785	0.0306568	0.0274393	0.0104275	0.0359754	0.00260028	0.0167252	0.289906	0.0115025	0.299733	0.0149381	0.0182534	0.042103	0.00496051	0.0494949	0.0160894	0.00768643	0.0329292	0.0219537	0.0312621	0.00846782	0.000908706	0.0104088	0.0648413	0.00430105	0.0746675	0.0266223	0.00599797	0.0561958	0.00136776	0.0657261	0.468828	1.30985	0.7008136	1.299186	0.221153	0.479077	0.794863	1.25808	2.08735	4.52175	1.091038	1.853826	0.2087897	0.0402095	0.059118	0.0241738	0.0182473	0.0341057	0.0332199	0.0391249	0.018096	0.0509363	0.0180194	0.0219707	0.0628341	0.00931438	0.0144178	0.00214684	0.0185952	0.0103803	0.0367548	0.0206826	0.0113473	0.00296469	0.0108228	0.00968688	0.00368122	0.0127004	0.000917977	0.0059045	0.102346	0.00406073	0.105815	0.00527358	0.00644399	0.0148636	0.00175121	0.0174732	0.00568003	0.00271354	0.011625	0.00775031	0.0110365	0.00298939	0.000320801	0.00367463	0.0228909	0.0015184	0.0263599	0.00939846	0.00211746	0.0198388	0.000482862	0.0232033	0.649593	0.350407	2.832621
216	-2410.177	-2479.768	69.5918	0.0805389	0.0739472	0.020708	0.0778559	0.106614	0.066539	0.0515016	0.0168356	0.0503717	0.0348607	0.0351548	0.215602	0.0347664	0.00757716	0.0125888	0.0125519	0.0157193	0.0685337	0.0281428	0.0223862	0.027754	0.0274485	0.0109845	0.00337555	0.0158904	0.00531889	0.0109252	0.188827	0.0204894	0.224959	0.0113166	0.0418542	0.0227004	0.000432938	0.0413036	0.0191562	0.00734285	0.0256725	0.0177985	0.0148655	0.00540886	0.00118727	0.0333059	0.0544311	0.000675568	0.0675935	0.00702588	0.0116677	0.0220366	0.00176039	0.0194437	0.549603	1.26273	0.8442624	1.155738	0.141936	0.385898	0.742997	1.3459	2.59136	7.04545	1.411706	1.368932	0.2538955	0.0403552	0.0370524	0.0103761	0.0390109	0.0534206	0.0333404	0.0258057	0.00843574	0.0252395	0.0174675	0.0176149	0.108031	0.0174202	0.00379665	0.00630783	0.00628934	0.00787641	0.0343399	0.0141014	0.0112169	0.0139066	0.0137535	0.00550396	0.00169137	0.00796213	0.00266511	0.00547422	0.0946148	0.0102665	0.112719	0.00567035	0.0209717	0.0113744	0.00021693	0.0206958	0.00959848	0.00367924	0.0128636	0.00891818	0.00744861	0.00271019	0.0005949	0.0166884	0.0272735	0.000338504	0.0338687	0.00352042	0.00584625	0.0110418	0.000882071	0.00974258	0.577869	0.422131	1.995748
252	-2416.683	-2486.038	69.35459	0.133714	0.0880184	0.0458226	0.0647313	0.0845045	0.106672	0.0519093	0.0252147	0.0983594	0.0732089	0.0548622	0.127899	0.040323	0.0348871	0.0176204	0.0351686	0.0257454	0.0658681	0.0515109	0.030947	0.0248355	0.0190362	0.0147483	0.0529373	0.0261416	0.000723369	0.00396425	0.00997915	0.0351531	0.0374131	0.00167511	0.0133305	0.176856	0.0142026	0.0100261	0.1684	0.0215545	0.0345611	0.0285097	0.000657924	0.0190008	0.0135669	0.0425114	0.00606669	0.0222594	0.0700193	0.0212561	0.0470122	0.0061948	0.0381865	0.023989	0.369936	1.36754	0.8230859	1.176914	0.129297	0.368739	0.732528	1.36513	2.71194	7.73413	1.47914	1.42988	0.1577992	0.0591195	0.038916	0.0202598	0.0286199	0.0373623	0.0471635	0.0229509	0.0111483	0.0434881	0.0323682	0.0242565	0.0565485	0.0178282	0.0154248	0.0077906	0.0155493	0.0113829	0.0291226	0.0227748	0.0136827	0.0109806	0.00841654	0.00652072	0.0234054	0.0115581	0.000319826	0.00175273	0.00441213	0.0155424	0.0165416	0.000740623	0.00589388	0.0781941	0.00627945	0.00443288	0.0744554	0.00953	0.0152807	0.0126051	0.000290891	0.00840089	0.00599841	0.0187958	0.00268229	0.00984164	0.030958	0.00939804	0.0207857	0.00273893	0.0168836	0.0106064	0.588457	0.411543	2.261755
288	-2413.23	-2481.904	68.67385	0.160752	0.142037	0.0559625	0.0614179	0.0615886	0.165781	0.0970631	0.0303645	0.111123	0.0608568	0.129109	0.138214	0.0611611	0.0375679	0.0334911	0.0457627	0.030993	0.150939	0.063268	0.0562646	0.0311625	0.0278365	0.0279151	0.0292873	0.032284	0.00184232	0.00954381	0.0186452	0.0123991	0.0274439	0.0109347	0.0212025	0.30496	0.0325814	0.0272665	0.267608	0.0335822	0.025218	0.14267	0.00406151	0.0179084	0.0208749	0.0152873	0.00525103	0.0167997	0.0304791	0.0101119	0.0456835	0.00312186	0.0342768	0.0411146	0.49161	1.29656	0.9800955	1.019905	0.229294	0.487598	0.799247	1.25118	2.05087	4.36121	1.064899	1.040618	0.2211793	0.053175	0.0469843	0.0185118	0.0203164	0.0203728	0.0548387	0.0321074	0.0100442	0.0367583	0.0201308	0.0427079	0.0457196	0.0202315	0.0124271	0.0110785	0.0151378	0.0102522	0.0499291	0.0209284	0.0186117	0.0103082	0.00920802	0.00923401	0.00968791	0.0106792	0.000609419	0.00315699	0.00616763	0.0041015	0.00907816	0.0036171	0.00701355	0.100878	0.0107776	0.00901948	0.088522	0.0111086	0.00834186	0.0471938	0.00134351	0.00592391	0.0069052	0.00505687	0.00173699	0.00555718	0.0100822	0.00334491	0.0151116	0.00103268	0.0113384	0.0136003	0.509952	0.490048	3.023072
324	-2408.036	-2476.266	68.23047	0.158476	0.0948938	0.0643586	0.0728547	0.121643	0.171904	0.106222	0.0385417	0.10445	0.0565123	0.0775591	0.166023	0.0423729	0.0275251	0.0177239	0.0424957	0.0210864	0.176595	0.0662842	0.060975	0.0368134	0.0366154	0.0244928	0.000568884	0.0150996	0.001461	0.00638621	0.0066201	0.00538993	0.00963161	0.0116016	0.0238594	0.28319	0.0146095	0.0105298	0.260362	0.0445206	0.0485198	0.107187	0.001277	0.032452	0.0160423	0.0284029	0.00327569	0.0611129	0.0199769	0.123872	0.0348127	0.00364176	0.0549407	0.0723388	0.598836	1.23401	0.8859311	1.114069	0.236497	0.495009	0.803017	1.2453	2.02017	4.22839	1.042536	1.257512	0.2830772	0.0513182	0.0307289	0.0208408	0.0235921	0.039391	0.0556666	0.0343974	0.0124807	0.0338234	0.0183	0.0251155	0.0537621	0.0137213	0.00891329	0.0057394	0.0137611	0.00682827	0.0571855	0.0214644	0.0197452	0.011921	0.0118569	0.00793134	0.000184218	0.00488962	0.000473105	0.00206801	0.00214375	0.00174539	0.00311894	0.00375687	0.00772623	0.0917036	0.0047309	0.0034098	0.0843114	0.0144168	0.0157119	0.0347097	0.000413524	0.0105087	0.00519487	0.00919752	0.00106075	0.0197898	0.00646898	0.0401125	0.0112732	0.00117929	0.0177911	0.023425	0.557034	0.442966	3.0881
