Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-2423.276	-2493.179	69.90274	0.0564415	0.0918576	0.018499	0.0288118	0.0369213	0.107432	0.0432379	0.00373016	0.0425793	0.0131823	0.0368834	0.0686668	0.00526133	0.0302267	0.00338198	0.00530895	0.00618716	0.0537858	0.0182923	0.0209868	0.0228959	0.0100939	0.0101187	0.00432527	0.0187177	0.00333029	0.00276863	0.000899832	0.0157109	0.00589074	0.0240111	0.00736736	0.00475562	0.00950995	0.0119577	0.00237673	0.00409599	0.0183448	0.0253861	0.00859301	0.0273057	0.00466969	0.00230788	0.00812988	0.0344051	0.00624713	0.0154983	0.139302	0.0126548	0.00512547	0.109746	0.630406	1.2156	0.7548061	1.245194	0.0855392	0.301449	0.687899	1.4537	3.31731	11.6905	1.777868	1.649687	0.3025152	0.0445046	0.0724305	0.0145866	0.0227184	0.0291127	0.0847108	0.0340935	0.00294127	0.0335742	0.0103944	0.0290829	0.0541444	0.00414861	0.023834	0.00266672	0.00418616	0.00487863	0.0424106	0.0144236	0.0165483	0.0180536	0.00795916	0.00797865	0.00341051	0.0147591	0.00262597	0.00218309	0.000709526	0.0123882	0.0046449	0.018933	0.00580923	0.00374985	0.00749868	0.00942878	0.00187407	0.00322972	0.0144651	0.0200171	0.00677567	0.0215308	0.00368209	0.00181979	0.00641048	0.0271287	0.00492592	0.0122205	0.109841	0.00997838	0.00404147	0.086536	0.622597	0.377403	1.268217
36	-2415.56	-2484.856	69.29557	0.16703	0.101099	0.0342249	0.0207887	0.107542	0.110307	0.0899001	0.0316307	0.0885307	0.0607032	0.0496543	0.11387	0.0272686	0.0440867	0.0274449	0.0236193	0.022122	0.143294	0.0270208	0.029763	0.0380932	0.0400654	0.0248024	0.0240505	0.0171112	0.0054661	0.00839775	0.019238	0.052593	0.00786886	0.0473535	0.00548414	0.00345254	0.0318263	0.0654088	0.0209739	0.0251324	0.0104835	0.0424725	0.0132436	0.121196	0.00734641	0.0220094	0.00841423	0.0715349	0.00171048	0.0345059	0.183861	0.0319927	0.0281264	0.234058	0.528925	1.27479	0.9978024	1.002198	0.198715	0.454721	0.782029	1.27873	2.19915	5.03234	1.168397	1.004405	0.242031	0.0650383	0.039366	0.0133266	0.00809475	0.0418749	0.0429517	0.0350055	0.0123164	0.0344723	0.0236367	0.0193345	0.0443391	0.0106179	0.0171666	0.0106865	0.00919692	0.00861392	0.0557959	0.0105214	0.0115892	0.0148328	0.0156007	0.0096576	0.00936484	0.00666278	0.0021284	0.00326993	0.00749092	0.0204787	0.00306399	0.0184386	0.00213543	0.00134436	0.0123926	0.025469	0.00816685	0.0097861	0.00408211	0.016538	0.00515682	0.0471915	0.00286056	0.00857007	0.00327635	0.0278544	0.00066603	0.013436	0.0715922	0.0124574	0.0109519	0.0911379	0.501099	0.498901	2.568172
72	-2420.71	-2489.099	68.38837	0.254007	0.132248	0.0389394	0.081314	0.122365	0.22846	0.0780026	0.078186	0.10109	0.0468263	0.0451209	0.136267	0.0327352	0.0450687	0.0124328	0.0140101	0.00680817	0.0508546	0.0482742	0.039711	0.0301341	0.0195009	0.0410839	0.0900742	0.00923279	0.024215	0.0155136	0.0164796	0.032394	0.0551769	0.0167155	0.051846	0.0301216	0.248063	0.0322303	0.0183518	0.0453959	0.168549	0.00275185	0.0112009	0.0110035	0.00327934	0.0230392	0.043737	0.101318	0.00178874	0.0118304	0.0707603	0.0252668	0.00246327	0.0704453	0.449338	1.32122	0.7666561	1.233344	0.209583	0.466685	0.788391	1.26841	2.14277	4.77138	1.129893	1.608732	0.1983879	0.0870875	0.045342	0.0133506	0.0278789	0.0419536	0.0783287	0.0267436	0.0268065	0.0346594	0.0160546	0.0154699	0.0467198	0.0112234	0.015452	0.00426266	0.00480345	0.00233422	0.0174357	0.0165511	0.0136151	0.0103316	0.00668598	0.0140858	0.0308824	0.00316551	0.00830225	0.00531891	0.0056501	0.0111064	0.0189177	0.00573101	0.0177757	0.0103274	0.0850496	0.0110503	0.00629202	0.0155642	0.057788	0.000943484	0.00384029	0.00377259	0.00112434	0.00789909	0.0149954	0.0347374	0.000613279	0.0040561	0.0242605	0.00866283	0.000844546	0.0241525	0.616672	0.383328	2.916684
108	-2412.439	-2480.644	68.2047	0.146819	0.150506	0.0747914	0.100023	0.0963727	0.134928	0.0615971	0.0215739	0.0576699	0.0522704	0.0908289	0.197345	0.0384272	0.0257514	0.00950189	0.0345423	0.0219163	0.128726	0.0564884	0.0352653	0.0151105	0.0206719	0.0159984	0.105262	0.0251404	0.0222038	0.00411377	0.0443142	0.0358519	0.122541	0.00514616	0.0553088	0.0942024	0.235548	0.0503568	0.0113863	0.0621772	0.212509	0.0293184	0.0183899	0.0168445	0.00525099	0.00542645	0.0159662	0.0996998	0.00311722	0.0135651	0.0830639	0.0372113	0.0683576	0.0444577	0.355285	1.37608	0.8524614	1.147539	0.157891	0.406478	0.755139	1.32426	2.46016	6.33348	1.334676	1.346147	0.1506082	0.0471502	0.0483342	0.0240189	0.032122	0.0309496	0.0433315	0.0197816	0.00692837	0.0185204	0.0167864	0.0291693	0.0633765	0.0123407	0.00826994	0.00305149	0.0110931	0.00703831	0.0413398	0.018141	0.0113253	0.00485265	0.00663868	0.00513781	0.0338045	0.00807374	0.00713063	0.00132112	0.0142313	0.0115137	0.0393534	0.00165266	0.0177621	0.0302526	0.0756451	0.0161719	0.00365667	0.0199679	0.0682462	0.00941545	0.00590581	0.00540953	0.00168633	0.00174268	0.00512746	0.0320181	0.00100108	0.00435638	0.0266756	0.0119502	0.0219527	0.0142774	0.573769	0.426231	3.113856
144	-2411.087	-2479.628	68.54016	0.212149	0.12888	0.0375404	0.0568901	0.10574	0.106042	0.0817164	0.0303424	0.070342	0.0411226	0.0681773	0.0784492	0.0483048	0.0376197	0.0202236	0.0397238	0.0152944	0.0754453	0.0444522	0.0367078	0.0403799	0.0473603	0.0204102	0.0075043	0.0164403	0.00677228	0.0126567	0.0148184	0.0781905	0.0200964	0.0193478	0.0162202	0.0319173	0.0635522	0.0610447	0.0164105	0.0397221	0.0157558	0.0569824	0.239825	0.0380398	0.0780667	0.0370711	0.0468084	0.0153406	0.000276686	0.330577	0.00530624	0.0129629	0.0296582	0.0204522	0.651802	1.20312	0.8158154	1.184185	0.243726	0.502332	0.806705	1.23961	1.99072	4.10297	1.020764	1.451535	0.3160275	0.0764465	0.0464411	0.0135274	0.0205	0.0381028	0.0382117	0.029446	0.0109337	0.0253473	0.0148183	0.0245672	0.0282687	0.0174063	0.013556	0.00728744	0.0143142	0.00551123	0.0271862	0.0160181	0.0132274	0.0145506	0.017066	0.00735468	0.00270413	0.00592415	0.00244035	0.00456077	0.0053397	0.0281754	0.00724159	0.00697186	0.00584484	0.0115012	0.0229006	0.021997	0.00591343	0.0143136	0.00567749	0.0205332	0.0864193	0.0137074	0.0281308	0.0133583	0.0168671	0.00552789	9.97021e-05	0.119121	0.00191207	0.00467111	0.0106871	0.00736981	0.592092	0.407908	2.775131
180	-2402.244	-2470.97	68.72597	0.101282	0.149059	0.0461334	0.0701167	0.100652	0.176512	0.0766981	0.0154427	0.0681065	0.053682	0.0648966	0.147818	0.0489417	0.0299451	0.0161488	0.015809	0.0304837	0.0832523	0.0434701	0.034056	0.0383324	0.0293054	0.0312164	0.0273125	0.021555	0.00496959	0.00765163	0.00458627	0.0490736	0.0509783	0.0147881	0.0154397	0.0173423	0.0135527	0.0846302	0.0431691	0.0253805	0.0087354	0.0311591	0.232818	0.021385	0.0570296	0.0209784	0.026322	0.0146024	0.000159482	0.227384	0.0633093	0.0416663	0.087386	0.0194681	0.501969	1.29052	0.8201453	1.179855	0.194765	0.45029	0.779644	1.28264	2.22079	5.13439	1.182913	1.438592	0.2268977	0.0374538	0.0551214	0.01706	0.0259289	0.0372207	0.0652734	0.0283626	0.00571065	0.0251855	0.0198514	0.0239985	0.0546626	0.0180985	0.0110736	0.00597178	0.00584612	0.0112728	0.0307864	0.0160751	0.0125938	0.0141752	0.010837	0.0115437	0.0101	0.00797097	0.00183774	0.00282954	0.00169598	0.0181472	0.0188516	0.0054686	0.00570954	0.0064131	0.00501175	0.0312959	0.0159638	0.00938562	0.00323032	0.0115225	0.0860953	0.00790808	0.0210893	0.00775773	0.00973379	0.00539992	5.8976e-05	0.0840856	0.0234115	0.0154081	0.032315	0.00719921	0.589927	0.410073	2.704193
216	-2410.412	-2481.099	70.68722	0.0355102	0.0250851	0.0136018	0.0166309	0.0153145	0.0418666	0.0141249	0.00207432	0.0242476	0.00697467	0.0144578	0.0471978	0.00932442	0.00916273	0.00263932	0.0090715	0.00327617	0.016173	0.0126908	0.0101502	0.000990001	0.00523895	0.00448516	0.000611009	0.0072295	0.000782499	0.00379743	0.00132611	0.0249673	0.00991423	0.00515794	0.00240163	0.00479585	0.00171066	0.0120587	0.00808036	0.00864209	0.00606149	0.0118141	0.0634155	0.00216248	0.00721735	0.00635991	0.0140287	0.000878672	0.000707994	0.0615233	0.00977561	0.00288872	0.01784	0.00258919	0.49555	1.29426	0.8411952	1.158805	0.0659137	0.265468	0.661153	1.51251	3.76694	15.1714	1.96632	1.377569	0.2233481	0.0555692	0.0392552	0.0212851	0.0260253	0.0239654	0.0655162	0.0221038	0.00324606	0.0379446	0.0109145	0.0226248	0.0738588	0.0145916	0.0143386	0.00413021	0.0141958	0.00512681	0.0253088	0.0198596	0.0158838	0.00154923	0.00819833	0.00701874	0.000956156	0.0113133	0.00122452	0.00594252	0.0020752	0.0390708	0.0155146	0.00807155	0.00375826	0.00750493	0.00267697	0.0188705	0.0126448	0.0135238	0.00948551	0.0184876	0.0992376	0.00338402	0.0112943	0.00995249	0.0219532	0.00137502	0.00110792	0.0962766	0.0152976	0.0045205	0.0279175	0.00405177	0.579402	0.420598	0.639027
252	-2420.804	-2489.741	68.93678	0.149126	0.105035	0.0214501	0.0776693	0.0969478	0.079449	0.0805535	0.0386059	0.103045	0.037945	0.0684286	0.148027	0.0401987	0.0160505	0.0299748	0.0326667	0.0123996	0.0733303	0.0548315	0.0613846	0.0235078	0.0163741	0.0157518	0.0158232	0.0269106	0.0230887	0.0168598	0.0632837	0.0466207	0.00860013	0.0113061	0.0170956	0.00221624	0.0102033	0.091027	0.024147	0.0392407	0.0422019	0.056806	0.0257865	0.00169993	0.00759717	0.0082461	0.012632	0.0406702	0.00546747	0.013948	0.235466	0.0143711	0.0418404	0.299485	0.645515	1.20678	0.9401435	1.059856	0.18756	0.442087	0.775184	1.29002	2.262	5.33164	1.21017	1.127335	0.3120282	0.0576803	0.0406264	0.00829666	0.0300416	0.0374983	0.0307299	0.0311571	0.0149323	0.0398566	0.0146767	0.0264674	0.0572549	0.0155484	0.00620813	0.0115939	0.0126351	0.00479603	0.0283633	0.0212082	0.0237428	0.00909255	0.0063333	0.0060926	0.00612024	0.0104087	0.00893044	0.00652117	0.0244774	0.0180323	0.00332643	0.00437307	0.00661237	0.000857216	0.00394651	0.0352082	0.00933977	0.0151779	0.0163232	0.0219719	0.00997392	0.000657515	0.0029385	0.00318949	0.00488591	0.0157307	0.00211475	0.00539492	0.0910756	0.00555857	0.0161834	0.115837	0.529928	0.470072	2.585394
288	-2409.894	-2479.367	69.47243	0.117145	0.072148	0.0778807	0.0176073	0.0962154	0.130556	0.0612349	0.00133286	0.0704285	0.0465828	0.0470523	0.18171	0.0119513	0.0223016	0.00718089	0.0103632	0.0145128	0.0604816	0.0329753	0.0310592	0.0196734	0.0156917	0.0135092	0.00924661	0.0164949	0.0281547	0.0145868	0.00397547	0.0539591	0.0460096	0.0154603	0.00359346	0.00986448	0.00293913	0.0359162	0.0308037	0.0285789	0.0200152	0.0260574	0.134378	0.00952719	0.0399246	0.0386103	0.0311201	0.000351322	0.0145667	0.204271	0.0464047	0.015562	0.0713443	0.0119682	0.333886	1.38857	0.7412619	1.258738	0.135404	0.377133	0.73769	1.35558	2.65159	7.38532	1.445772	1.698102	0.1402645	0.0551717	0.0339795	0.0366795	0.00829251	0.0453145	0.061488	0.0288398	0.000627739	0.0331697	0.0219391	0.0221602	0.0855799	0.0056287	0.0105034	0.00338198	0.00488077	0.00683507	0.028485	0.0155304	0.014628	0.0092656	0.00739033	0.00636244	0.00435487	0.00776862	0.01326	0.00686992	0.00187233	0.0254131	0.0216691	0.00728135	0.00169241	0.00464587	0.00138424	0.0169154	0.0145076	0.0134598	0.00942654	0.0122722	0.0632879	0.00448702	0.0188033	0.0181843	0.0146566	0.000165462	0.00686048	0.0962056	0.0218552	0.00732926	0.033601	0.00563665	0.629369	0.370631	2.123278
324	-2408.292	-2477.882	69.59004	0.124709	0.111023	0.0496959	0.0592204	0.0692105	0.112976	0.0658494	0.0279737	0.0593284	0.0405888	0.104688	0.144701	0.0237594	0.0135246	0.00184373	0.0285103	0.0218618	0.0447211	0.0669576	0.0247595	0.0232991	0.039244	0.0376387	0.00517015	0.0252479	0.00169415	0.0101498	0.00855493	0.0528582	0.0653287	0.00691179	0.0151581	0.0036523	0.00906371	0.175508	0.0320338	0.0133129	0.0524415	0.146202	0.0378053	0.0242472	0.0146067	0.0127154	0.00275075	0.0102186	0.0165833	0.062483	0.0233298	0.00941361	0.062402	0.0180803	0.402436	1.34858	0.8376885	1.162311	0.166466	0.417098	0.761239	1.31365	2.39752	6.00725	1.296439	1.387522	0.1740752	0.0563274	0.0501459	0.0224461	0.026748	0.0312603	0.0510278	0.0297422	0.0126349	0.0267968	0.0183327	0.0472845	0.0653569	0.0107314	0.00610866	0.000832755	0.0128772	0.00987431	0.0201992	0.0302427	0.0111831	0.0105235	0.0177253	0.0170003	0.0023352	0.0114037	0.000765196	0.00458434	0.003864	0.0238744	0.029507	0.00312185	0.00684646	0.00164963	0.0040938	0.0792716	0.0144687	0.00601302	0.0236862	0.0660349	0.0170755	0.0109517	0.00659741	0.00574315	0.00124243	0.00461543	0.00749018	0.0282217	0.0105374	0.00425184	0.0281851	0.00816632	0.581156	0.418844	2.214008
